Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
1038,19/06/1967,72_2449,1870101,5715558,150,
1034,9/07/1966,72_2571,1887813,5731143,,
1022.91,18/11/1974,72_2596,1889141,5728894,,
1020,5/08/1967,72_2573,1887812,5731643,,
1018,1/06/1955,72_2522,1868710,5720615,,
1016.2,27/07/1970,72_2587,1888513,5731344,,
1014.02,9/02/1960,72_2508,1865908,5721012,,
1003.24,18/10/2005,72_3073,1870247,5716489,600,
1000,,72_3321,1874897,5715375,500,
1000,1/01/2008,72_3322,1872888,5714473,500,
997,18/04/2008,72_4194,1871019,5713638,750,
987,30/08/2008,72_4187,1865931,5721287,750,
975.3,8/08/1958,72_2559,1868510,5720514,,
961.98,3/04/1984,72_2609,1888642,5729699,,
958.54,28/09/1953,72_2472,1867810,5720514,,
942.07,10/05/1963,72_2519,1865107,5721211,,
938.7,29/06/1965,72_6132,1879951,5743747,,
929.27,1/09/1961,72_2517,1865509,5719311,,
917.38,1/03/1960,72_2509,1866109,5720012,,
916.47,1/05/1958,72_2545,1867609,5721214,,
912,14/02/1967,72_2572,1888513,5731744,,
906.71,8/06/1959,72_2506,1866110,5718911,,
878.35,8/12/1964,72_2503,1867009,5720713,,
878,30/05/2009,72_5678,1874282,5716768,330,
832.01,1/03/1955,72_2474,1867409,5720613,,
827.44,15/07/1958,72_2550,1868410,5720614,,
826.22,16/01/1960,72_2507,1865907,5721713,,
818.6,15/04/1961,72_2512,1866508,5721213,,
800.5,4/01/2009,72_3603,1870285,5712664,500,
759.87,27/04/1968,72_2017,1889589,5729703,,
732.93,15/02/1957,72_2541,1867409,5721114,,
725.61,25/03/1961,72_2537,1867409,5721014,,
717.4,6/03/2009,72_3387,1869549,5715059,315,
717.07,1/08/1956,72_2533,1868310,5720614,,
717,25/02/2009,72_5680,1869549,5715059,360,
711.71,10/05/1964,72_2494,1867309,5720813,,
710.37,1/09/1962,72_2514,1866709,5720313,,
707.01,1/04/1957,72_2543,1868010,5720514,,
700.61,8/02/1966,72_2504,1867009,5720713,,
699.4,21/05/1956,72_2530,1867209,5720513,,
697.87,15/05/1961,72_2513,1866909,5720113,,
696.96,13/06/1959,72_2535,1867409,5720914,,
682.32,1/10/1956,72_2481,1867409,5720513,,
681.71,1/12/1954,72_2475,1867609,5720714,,
681.1,30/07/1965,72_2495,1867209,5720713,,
678.97,8/11/1961,72_2477,1867409,5720814,,
675.3,10/05/1959,72_2548,1867309,5720613,,
670.43,11/04/1958,72_2546,1867709,5720714,,
667.69,28/01/1959,72_2553,1867609,5720614,,
667.07,6/09/1962,72_2492,1867309,5720513,,
665.55,1/04/1956,72_2480,1867409,5720613,,
664.64,6/07/1962,72_2540,1867509,5720513,,
660.06,1/09/1963,72_2493,1867109,5720413,,
657.01,1/06/1960,72_2552,1867609,5720614,,
653.8,17/11/1962,72_2529,1867309,5720413,,
649.88,15/04/1964,72_2498,1867509,5720714,,
649.4,29/02/1964,72_2497,1867109,5720613,,
647.26,19/10/1963,72_2491,1867209,5720313,,
647.26,13/04/1959,72_2547,1867109,5720613,,
644.5,31/03/2006,72_2942,1841064,5920696,225,
642.99,17/11/1956,72_2534,1867309,5720413,,
642.8,1/03/1956,72_2478,1867709,5720614,,
641.15,3/08/1986,72_2521,1866808,5721013,,
637.5,30/09/1958,72_2557,1868710,5720515,,
637.2,2/07/1960,72_2490,1867209,5720313,,
631.71,1/09/1959,72_2536,1867409,5720713,,
630.79,16/10/1965,72_2502,1867009,5720513,,
629.57,20/09/1965,72_2501,1867109,5720313,,
625.5,1/07/1989,60_420,1841104,5920661,100,
623.78,1/03/1961,72_2554,1867709,5720714,,
621.04,1/11/1960,72_2476,1867409,5720713,,
620.47,1/02/1958,72_2473,1867609,5721114,,
620.43,18/02/1961,72_2539,1867409,5720513,,
616.3,8/11/2008,72_4181,1867804,5721034,245,
609.76,2/09/1958,72_2558,1868610,5720515,,
605.79,3/03/1956,72_2479,1867210,5720213,,
604.27,16/07/1965,72_2531,1867409,5720413,,
600,23/05/2008,72_4401,1879267,5720976,400,
596.1,2/03/2009,72_4182,1869146,5720945,245,
589.63,4/12/1958,72_2532,1867709,5720714,,
576.22,20/10/1958,72_2556,1868710,5720415,,
548.37,22/01/2006,72_3075,1868992,5716313,315,
548.00,1/01/1981,BN24-0032,1896997,5754311,100.00,
532.00,10/10/2021,BN22-0075,1894987,5787314,,
523.78,9/07/1964,72_2551,1867509,5720513,,
521.5,13/08/2005,72_2890,1865537,5721219,500,
500,26/11/2013,72_9200,1844344,5811355,200,
493.6,25/09/1957,72_2549,1869011,5720315,,
486.59,1/08/1955,72_2523,1868910,5720415,,
481.43,5/12/1955,72_2525,1868910,5720515,,
473.2,1/08/1957,72_2544,1868810,5720615,,
458.24,,72_2526,1868910,5720415,,
455.19,31/03/1958,72_2510,1867110,5719512,,
454.85,21/07/1982,72_2605,1887349,5729457,,
444,23/06/1998,72_3076,1869312,5719415,315,
443,4/02/2006,72_3074,1869144,5716183,315,
435.9,29/11/1983,72_2025,1887008,5729133,,
430,13/09/1966,72_2467,1870513,5713057,,
