Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
121.92,31/12/1899,68_851,1868819,5711909,100,
121.92,1/05/1976,RR740,1885082,5772737,100.00,
121.90,,RR312,1884575,5774427,62.50,
121.90,1/09/1964,RR509,1885293,5774271,100.00,
121.90,1/10/1964,RR527,1885452,5771371,100.00,
121.90,1/10/1964,RR527,1885452,5771371,100.00,
121.90,20/12/1974,RR715,1885421,5772319,100.00,
121.80,1/09/2008,RR10654,1885679,5774110,100.00,
121.20,20/09/1984,RR905,1884681,5772427,100.00,
121.00,,BN21-0057,1885078,5772866,,
121.00,28/06/1974,RR697,1884628,5772282,125.00,
120.7,10/02/2019,72_10663,1785243,5879909,100,
120.70,,RR489,1884718,5773388,75.00,
120.70,25/06/1974,RR691,1884560,5772770,75.00,
120.40,12/06/1958,RR270,1884254,5771992,100.00,
120.40,1/02/1974,RR679,1885356,5773435,100.00,
120,,72_3043,1869410,5714382,300,
120,,72_3044,1869299,5714478,205,
120,18/01/2008,72_5038,1827816,5844924,100,
120.00,,BN19-0139,1894964,5781604,100.00,
120.00,,BN20-0079,1885207,5772539,100.00,
120.00,,RR1042,1885743,5774242,100.00,
120.00,26/10/2012,RR12152,1885679,5774104,100.00,
119.50,5/03/2013,RR12154,1884928,5774171,100.00,
119.50,,RR483,1885169,5772613,75.00,
118.90,,BN20-0095,1885060,5772912,100.00,
118.90,18/10/1976,RR750,1885010,5772601,100.00,
118.90,4/02/1981,RR841,1885007,5772679,100.00,
118.80,9/05/1955,RR358,1885347,5773793,100.00,
118.30,,RR871,1884826,5773129,100.00,
118.20,22/11/2023,BN23-0079,1885066,5772900,114.00,
118.00,21/12/2016,BN19-0156,1885565,5773925,100.00,
118.00,,RR1004,1885392,5773975,150.00,
118.00,26/08/1981,RR851,1884912,5772699,100.00,
117.70,1/09/1962,RR458,1884048,5771976,100.00,
117.65,27/09/1976,RR751,1884584,5772690,100.00,
116.80,,RR893,1884986,5772132,100.00,
116.70,,RR123,1885193,5773453,76.20,
116.40,4/07/1979,RR814,1884859,5772577,100.00,
116.20,1/05/1979,RR816,1884922,5772557,100.00,
116,,72_2192,1846310,5795578,,
116.00,15/12/1992,RR1019,1885419,5773783,125.00,
116.00,,RR1038,1883996,5775032,,
116.00,,RR692,1884834,5773255,100.00,
116.00,26/05/1982,RR859,1885076,5772674,100.00,
115.80,31/03/1983,RR891,1884491,5771912,100.00,
115.25,16/08/1984,RR902,1885035,5771913,100.00,
115,16/03/1980,68_344,1869418,5712810,,
115.00,27/03/2017,BN19-0111,1884646,5773182,100.00,
115.00,21/09/2020,BN21-0049,1885673,5774163,100.00,
115.00,,RR1011,1885723,5774078,100.00,
114.60,1/03/1965,RR543,1885229,5774071,100.00,
114.60,10/07/1965,RR546,1885363,5773790,100.00,
114.50,,RR848,1883961,5771253,152.00,
114.36,,RR863,1885386,5773786,125.00,
114.36,,RR890,1884932,5772847,100.00,
114.30,,BN20-0092,1884795,5772722,,
114.30,3/03/1953,RR271,1884023,5771535,62.50,
114.30,,RR701,1884644,5773862,100.00,
114.30,,RR768,1884251,5775215,150.00,
114,21/06/2011,72_5428,1869131,5714966,200,
114.00,29/09/2024,BN24-0115,1885657,5774209,100.00,
114.00,,RR1015,1885086,5772902,,
114.00,,RR583,1885271,5773956,100.00,
113.50,30/05/1980,RR829,1884703,5773195,100.00,
113.10,1/09/1964,RR524,1883912,5771614,100.00,
113,3/07/2009,72_5317,1891476,5729491,100,
113.00,1/06/2004,RR1072,1885459,5773783,100.00,
112.50,20/11/2012,RR12153,1885068,5772907,100.00,
112.50,6/03/1978,RR781,1884590,5773119,100.00,
112.23,,RR885,1885289,5774270,100.00,
112.1,9/03/1984,63_7,1816265,5871412,50,
112.00,31/08/2017,BN18-0001,1884748,5773380,100.00,
112.00,20/03/2024,BN23-0109,1884269,5774942,75.00,
112.00,20/03/2024,BN23-0109,1884269,5774942,75.00,
112.00,20/03/2024,BN23-0109,1884269,5774942,75.00,
112.00,4/05/2012,RR11559,1883812,5771849,100.00,
111.90,17/02/1961,RR244,1884823,5772572,75.00,
111.60,17/10/1977,RR765,1884291,5770937,,
111.00,22/01/2004,RR10442,1885458,5774273,6.00,
111.00,8/02/2005,RR10633,1885210,5772562,80.00,
110.90,1/01/1964,RR500,1885666,5774101,100.00,
110.33,1/03/1976,RR736,1884342,5772197,100.00,
110,26/01/1996,64_512,1840042,5841155,100,
110,1/08/2010,72_5148,1869520,5711409,100,
110.00,,BN19-0140,1895358,5781425,100.00,
109.70,15/04/1961,RR388,1884179,5775157,75.00,
109.70,1/03/1970,RR699A,1885699,5771148,100.00,
109.70,,RR754,1884930,5773206,100.00,
109.70,,RR87,1884861,5772441,100.00,
109.10,1/05/1974,RR687,1884821,5773059,100.00,
109.00,18/06/1959,RR228,1885385,5773479,75.00,
108.80,23/09/1957,RR362,1885497,5773718,75.00,
108.80,3/12/1959,RR367,1885295,5773208,75.00,
108.27,,RR861,1884827,5773820,100.00,
108.20,1/07/1974,RR694,1885050,5772164,100.00,
108.00,,BN20-0072,1884748,5772854,100.00,
108.00,10/09/2015,RR12172,1884536,5774523,150.00,
107.60,7/02/1976,RR756,1884031,5771620,100.00,
107.00,,BN20-0073,1884732,5772856,100.00,
107.00,,RR1025,1884568,5773892,100.00,
107.00,31/07/1994,RR2121,1884558,5773872,100.00,
107.00,31/07/1994,RR2121,1884558,5773872,100.00,
107.00,,RR688,1885110,5773122,74.00,
107.00,7/09/1982,RR887,1885580,5773810,125.00,
106.70,23/06/1972,BN18-0082,1884838,5772809,100.00,
106.70,1/05/1976,RR739,1885155,5774145,100.00,
106.68,31/12/1899,68_164,1869219,5712410,100,
106.60,1/01/1956,RR272,1884243,5771533,100.00,
106.00,1/10/2000,RR1067,1885539,5773920,100.00,
106.00,24/05/2014,RR12162,1885312,5774415,100.00,
105.50,,RR1021,1885601,5773823,125.00,
105.20,1/07/1962,RR434,1884419,5774147,75.00,
105,1/01/1986,64_276,1840022,5841202,100,
105.00,12/06/2015,RR12168,1884527,5774551,150.00,
104.92,1/06/1976,RR737,1884237,5772108,100.00,
104.90,,RR641,1884418,5772022,100.00,
104.90,15/04/1975,RR719,1884624,5773495,100.00,
104.80,1/02/1982,RR865,1884965,5773127,100.00,
104.20,24/09/1959,RR247,1884643,5772846,75.00,
104.00,14/08/1985,RR910,1885015,5771978,100.00,
103.60,,BN-4610,1895556,5781393,150.00,
103.20,7/11/1957,RR339,1883972,5771242,150.00,
103,1/01/2011,72_5331,1870421,5711310,150,
103.00,,BN20-0066,1885123,5773187,75.00,
103.00,11/11/2022,BN22-0116,1884199,5774849,100.00,
102.70,20/02/1962,RR450,1885003,5771268,87.50,
102.70,1/10/1981,RR853,1884693,5772872,100.00,
102.17,11/05/1978,RR788,1885188,5772427,100.00,
102.00,14/05/2019,BN21-0219,1884640,5774387,150.00,
102.00,,RR1036,1884949,5773082,100.00,
102.00,,RR778,1883875,5771093,150.00,
101.87,,RR896,1884934,5771864,100.00,
101.00,25/09/2012,RR12151,1884761,5774922,100.00,
101.00,21/11/1961,RR232,1884866,5773945,100.00,
100.60,,BN20-0046,1884235,5774857,,
100.60,26/01/1962,RR453,1885271,5774055,75.00,
100.60,1/06/1964,RR506,1884872,5773945,100.00,
100.58,31/12/1899,68_361,1869020,5711209,101,
100,1/01/1980,68_394,1869418,5713010,,
100,1/01/1915,72_1641,1834635,5845420,50,
100.00,1/06/1998,RR1043,1885679,5774091,100.00,
100.00,11/04/2011,RR665,1885069,5773712,100.00,
98.70,29/07/1965,RR549,1885399,5774472,100.00,
98,1/04/1996,68_380,1876603,5732231,100,
97.53,31/12/1899,68_556,1868718,5712309,100,
97.50,12/08/1959,RR249,1884841,5773069,75.00,
97,19/10/1995,68_522,1869219,5712310,100,
97.00,30/11/2013,RR12158,1885706,5774063,100.00,
96.74,1/09/1984,RR897,1884945,5772009,100.00,
96.60,15/09/1959,RR311,1884999,5774795,75.00,
95.5,1/08/1998,68_945,1869219,5711609,100,
95,11/06/1980,68_271,1868619,5711308,,
94.80,,RR716,1885301,5774350,100.00,
94.66,1/09/1976,RR749,1885570,5773813,125.00,
94.10,2/10/1961,RR370,1885033,5771785,75.00,
94.05,2/04/1979,RR801,1885008,5772868,100.00,
94.00,,BN20-0067,1885094,5773178,100.00,
94.00,21/09/2022,BN22-0117,1885278,5773950,100.00,
94.00,21/07/2009,RR11531,1884203,5774920,100.00,
93.80,31/05/1955,RR277,1884034,5771620,62.50,
93.30,,RR258,1884615,5772973,62.50,
93.30,1/10/1963,RR515,1885305,5773927,100.00,
93.30,1/11/1982,RR870,1884810,5772368,100.00,
93.27,1/01/1968,RR553,1885047,5774295,100.00,
92.90,8/10/1958,RR257,1885069,5772337,100.00,
92.66,12/07/1978,RR791,1884667,5774381,150.00,
92.3,,72_2186,1824866,5872228,,
92,1/01/1982,68_804,1869120,5711209,100,
91.70,2/12/1963,RR482,1885059,5771799,75.00,
91.50,3/11/1979,RR820,1885245,5774243,100.00,
91.44,11/03/1983,68_719,1869419,5712210,91,
91.44,31/12/1899,68_745,1868920,5711209,100,
91.40,,BN20-0045,1884209,5774855,75.00,
91.40,20/09/1961,RR360,1885404,5773788,100.00,
91.00,10/03/2017,RR12185,1894905,5781655,100.00,
91.00,19/12/1960,RR223,1885399,5774483,100.00,
90.20,17/05/1960,RR128,1885536,5773816,76.20,
90.20,15/06/1983,RR894,1884686,5772078,100.00,
90,31/12/1899,68_615,1868918,5712510,100,
90,1/07/2011,72_10430,1869567,5711700,150,
90,,72_7684,1868798,5711478,77,
90.00,,RR699R,1885005,5773171,,
90.00,15/11/1982,RR874,1884336,5774895,100.00,
90.00,1/07/2014,BN-12176,1911152,5782347,100.00,
89.90,8/05/1979,RR812,1885046,5774314,100.00,
89.60,23/08/1974,RR698,1884994,5772466,100.00,
89.60,1/06/1978,RR786,1884998,5771860,100.00,
89.30,6/04/1968,RR547,1884697,5772822,,
89.00,6/12/2002,BN20-0107,1884635,5773959,100.00,
89.00,21/09/2022,BN22-0121,1884907,5774499,100.00,
89.00,,RR702,1883921,5771184,75.00,
88.40,18/06/1953,RR375,1885695,5771115,100.00,
88.40,4/03/1963,RR461,1885106,5774159,100.00,
88.10,,RR336,1884827,5772349,100.00,
88,1/04/1994,68_633,1868820,5710908,100,
88,30/08/2002,72_2135,1893798,5751053,150,
87.80,2/08/1957,RR389,1885014,5773908,75.00,
87.80,,RR464,1885229,5773919,75.00,
87.80,8/02/1982,RR850,1884703,5774071,100.00,
87.50,1/10/1944,RR53,1885544,5773783,76.20,
86.58,,RR1017,1885285,5773960,,
86.50,,RR314,1884591,5774357,87.50,
86.00,19/02/1979,RR802,1884508,5775151,100.00,
85.40,23/07/1979,RR810,1884841,5771867,75.00,
85.08,21/03/1983,RR888,1884876,5772979,100.00,
85,1/12/1992,68_109,1868819,5711909,80,
85,18/04/1989,68_189,1869519,5712110,200,
85,1/02/1975,68_803,1869020,5711309,100,
85,5/06/2008,72_4405,1878333,5722282,145,
84.70,12/02/1961,RR346,1885049,5774160,75.00,
84.00,31/08/2007,RR10645,1884858,5774323,100.00,
84.00,1/09/2007,RR10647,1884908,5774373,100.00,
84.00,19/05/2000,TI3685,1894692,5781666,100.00,
83.82,12/07/1978,RR790,1884677,5774368,150.00,
83.82,7/11/1978,RR793,1884671,5774376,150.00,
83.80,15/08/1978,RR792,1884667,5774399,150.00,
83.52,2/12/1974,RR714,1884659,5774196,100.00,
83.20,4/08/1955,RR155,1885025,5773839,152.00,
82.90,10/04/1965,RR542,1885300,5773788,150.00,
82.90,10/04/1965,RR542,1885300,5773788,150.00,
82.44,1/02/1977,RR761,1884776,5773006,100.00,
82.30,,RR32,1884226,5774855,63.50,
82.30,1/10/1944,RR55,1885566,5773944,50.80,
82.30,,RR899,1884769,5772566,100.00,
82.29,1/01/1986,68_181,1869320,5711209,175,
81.70,,RR259,1884675,5772982,75.00,
81.30,9/11/1961,RR313,1884533,5774349,75.00,
81.30,9/11/1961,RR313,1884533,5774349,75.00,
80.77,31/12/1899,68_614,1869020,5711309,81,
80,1/11/1996,68_861,1874125,5709613,100,
80,,72_2094,1807048,5879597,100,
79.90,,RR347,1885106,5774173,100.00,
79.24,9/03/1973,RR655,1884990,5772561,100.00,
79.20,31/07/1959,RR217,1884953,5774492,152.00,
79.00,27/06/2018,BN18-0073,1885780,5774260,100.00,
79.00,,RR1022,1885269,5773951,100.00,
79.00,9/06/1992,RR2598,1884057,5774271,100.00,
78.7,17/04/2016,72_9189,1839184,5684016,100,
78,26/08/1998,68_951,1868799,5712009,100,
78,28/10/1983,72_2614,1887008,5729133,,
78.00,30/07/2009,RR11532,1885098,5774083,100.00,
78.00,1/07/1974,RR695,1884679,5774105,100.00,
76.80,,TI4184,1894455,5781391,,
76.50,10/09/1974,RR700,1884314,5774898,100.00,
76.25,,BN20-0090,1884952,5774377,100.00,
76.2,31/12/1899,68_259,1869018,5712610,100,
76.20,,BN20-0061,1885483,5772512,150.00,
76.20,1/07/1967,RR584,1885239,5773728,100.00,
75.50,23/09/2003,BN18-0019,1884373,5775334,100.00,
75.00,20/06/2009,RR10659,1884583,5774489,100.00,
75.00,,RR85,1884825,5772354,200.00,
74.00,,BN21-0058,1884896,5774375,,
74.00,1/08/2001,RR10167,1885058,5774423,100.00,
74.00,1/11/1980,RR833,1884770,5772565,100.00,
74.00,,RR879,1885236,5774415,98.00,
73.50,,RR789,1884640,5774390,150.00,
73.10,1/02/1956,RR248,1884979,5772171,100.00,
73,5/04/1994,66_50,1876971,5760052,100,
73,1/02/1996,68_670,1869318,5712710,100,
73,1/07/2002,72_1308,1868919,5712109,,
73,,72_6730,1869611,5713498,,
73.00,27/05/2023,BN23-0023,1885734,5774249,150.00,
72.50,15/03/1980,RR824,1884714,5774049,100.00,
72.23,31/12/1899,68_254,1869419,5712710,75,
72,12/09/2001,72_1313,1776434,5826435,100,
72,,72_2041,1870587,5711447,100,
72.00,,BN20-0103,1884840,5773728,100.00,
71.9,31/12/1899,68_68,1868852,5712401,75,
71.60,27/06/1958,RR160,1885067,5773957,200.00,
71.2,,72_3340,1870264,5712641,150,
71.20,,RR723,1884776,5774083,100.00,
71,1/02/1976,68_389,1869090,5710982,75,
70.1,1/12/1986,68_722,1868919,5711609,100,
70.10,1/01/1961,RR403,1885650,5774372,100.00,
70.10,18/03/1957,RR409,1885172,5772801,75.00,
70.10,,RR439,1884715,5773842,75.00,
70,,68_123,1869700,5713640,27,
70,31/12/1899,68_22,1868873,5711137,100,
70,1/07/2010,72_5131,1869613,5712007,150,
69.8,1/01/1936,72_2227,1839971,5841342,75,
69.20,1/11/1966,RR575,1884935,5771802,75.00,
69.00,,RR1029,1884909,5774542,150.00,
68.50,25/10/2001,RR10178,1884629,5774216,100.00,
68.30,,RR837,1884806,5774287,100.00,
68.00,2/03/2011,RR1000014,1884334,5775270,100.00,
68.00,6/08/2008,RR10653,1884791,5774081,100.00,
68.00,18/02/2009,RR10657,1884877,5774833,100.00,
68.00,1/12/2011,RR11556,1885277,5773823,100.00,
67.1,1/05/1995,65_122,1759493,5785507,100,
67.00,24/03/1959,RR221,1885212,5774469,75.00,
67.00,,RR529,1884948,5774393,75.00,
67.00,,RR572,1884766,5772229,100.00,
67.00,,RR62,1883782,5774940,63.50,
67.00,,RR63,1883912,5774988,63.50,
65.30,13/11/1954,RR137,1885778,5774264,,
65,1/10/1982,68_20,1868619,5711509,100,
65,31/12/1899,68_81,1868877,5713709,100,
64,31/12/1899,68_562,1868720,5711208,100,
64,,72_10218,1865128,5735730,150,
64.00,1/10/2015,BN18-0035,1885282,5773815,100.00,
64.00,,RR3,1884744,5772028,63.50,
64.00,30/06/1960,RR350,1885166,5774154,75.00,
64.00,,RR798,1885292,5774033,100.00,
64.00,,RR798,1885292,5774033,100.00,
63.50,,LR1037,1891171,5776363,100.00,
63.05,10/10/1975,RR730,1885429,5773920,80.00,
63.00,31/08/1998,RR1044,1885039,5774418,100.00,
63.00,25/01/1978,RR779,1883525,5771614,50.00,
62.50,1/08/1962,RR457,1885133,5774278,100.00,
62.50,1/08/1962,RR457,1885133,5774278,100.00,
62.50,3/05/1978,RR787,1884684,5773933,100.00,
62.48,1/10/1984,68_279,1868920,5711209,100,
62.20,23/05/1988,RR5047,1883830,5771061,100.00,
62,31/12/1899,68_39,1869163,5712642,100,
62,13/02/1996,68_545,1869420,5711209,100,
62.00,,BN20-0100,1884161,5774944,100.00,
61.78,1/02/2012,72_5633,1821806,5849415,150,
61,31/12/1899,68_13,1868519,5711809,,
61,28/04/1986,68_255,1869920,5712010,100,
61,2/06/1988,68_319,1868619,5711408,100,
61,1/01/1981,68_34,1869120,5711309,100,
61,31/12/1899,68_43,1869387,5713362,100,
61,31/12/1899,68_92,1869418,5713210,100,
61.00,29/05/2018,BN18-0083,1884756,5772250,150.00,
61.00,,BN18-0090,1884794,5771884,150.00,
61.00,25/10/1961,BN19-0051,1884882,5774300,100.00,
61.00,28/05/2019,BN19-0080,1885015,5769626,150.00,
61.00,,BN20-0091,1884802,5771781,100.00,
61.00,25/11/2019,BN20-0130,1884823,5771912,100.00,
61.00,8/07/2009,RR11534,1885001,5771931,100.00,
61.00,13/04/2012,RR11558,1885131,5771673,150.00,
61.00,,RR17,1885087,5773953,100.00,
61.00,1/09/1941,RR18,1885286,5774127,100.00,
61.00,,RR5064,1883900,5771164,,
61.00,,RR5067,1884173,5772009,,
61.00,,RR566,1884738,5771792,100.00,
60.96,31/12/1899,68_209,1868519,5712009,100,
60.96,1/10/1986,68_275,1868920,5711309,100,
60.96,31/12/1899,68_506,1868719,5711509,75,
60.96,31/12/1899,68_595,1869019,5712209,61,
60.96,31/12/1899,68_607,1869219,5712310,100,
60.96,31/12/1899,68_738,1869820,5711910,100,
60.96,31/12/1899,68_856,1869819,5712210,100,
60.96,27/10/1960,RR404,1885010,5773609,100.00,
60.96,1/04/1963,RR471,1884703,5773821,75.00,
60.90,,BN20-0105,1884880,5774822,100.00,
60.5,,72_5649,1791751,5851435,65,
60,31/12/1899,68_280,1869618,5713311,150,
60,1/01/1980,68_347,1869418,5712810,,
60,31/12/1899,68_461,1869718,5713311,150,
60,31/12/1899,68_534,1869418,5713311,,
60,1/07/1986,68_664,1868619,5711909,100,
60,31/12/1899,68_69,1869018,5712710,100,
60,1/05/1985,68_802,1869819,5712110,100,
60,1/12/1981,68_813,1868805,5710995,100,
60.00,,BN20-0009,1884675,5772010,100.00,
60.00,,BN20-0084,1884643,5772014,,
60.00,,BN21-0053,1884691,5771805,,
60.00,,BN21-0055,1884857,5771787,100.00,
60.00,10/06/2009,RR10660,1884971,5771713,100.00,
60.00,1/12/2011,RR11555,1885128,5771669,150.00,
60.00,,RR5006,1884879,5771775,101.60,
60.00,,RR5036,1884547,5771987,150.00,
60.00,12/08/1988,RR5050,1885005,5772389,76.20,
60.00,,RR5068,1885442,5771631,100.00,
60.00,20/07/1989,RR5070,1884868,5771933,,
60.00,,RR898,1884374,5774937,100.00,
59.40,,RR353,1885068,5773827,75.00,
59.10,,RR335,1885258,5773833,100.00,
59.10,2/05/1964,RR504,1884706,5774282,100.00,
59.00,,RR5014,1884600,5772257,,
58.82,31/12/1899,68_517,1868720,5711208,100,
58.82,,RR783,1884369,5775033,75.00,
58.50,10/03/1955,RR264,1884846,5771856,62.50,
58,26/11/1993,68_541,1868619,5711308,100,
58,7/06/2001,72_512,1849577,5813746,150,
58.00,,RR5012,1884456,5772041,,
57.91,31/12/1899,68_284,1868619,5711308,100,
57.90,17/10/1952,RR134,1885417,5773984,152.40,
57.90,1/09/1980,RR838,1884072,5774783,100.00,
57.50,1/12/1987,RR5025,1885041,5772001,150.00,
57,1/03/1995,64_469,1828865,5829552,100,
57.00,,RR5030,1885000,5771851,,
56.70,12/11/1962,RR446,1885541,5774031,100.00,
56.40,1/11/1975,RR734,1884289,5775032,100.00,
56.30,,BN20-0094,1884100,5774864,50.00,
56,7/04/1992,68_736,1869979,5711680,150,
56.00,,RR5004,1884782,5771743,150.00,
55.8,1/08/1982,63_101,1825172,5869428,100,
55.8,1/08/1982,63_375,1825172,5869428,100,
55.1,,69_13,1793195,5851767,40,
55,1/08/1994,68_543,1869718,5713611,100,
55,1/10/1997,68_918,1864412,5716408,100,
55.00,,BN20-0093,1884831,5771791,100.00,
55.00,16/07/2007,RR10643,1885436,5771637,150.00,
55.00,30/07/2007,RR10644,1885432,5771641,100.00,
55.00,4/11/2010,RR11548,1884213,5771080,100.00,
55.00,11/09/2013,RR12157,1884466,5775007,100.00,
55.00,,RR4001,1911367,5783617,,
55.00,,RR5005,1885040,5772202,100.00,
55.00,,RR5022,1884932,5771713,,
55.00,,RR5031,1884901,5772092,100.00,
55.00,,RR5037,1884682,5772131,,
55.00,,BN-4001,1911487,5783497,,
54.9,31/12/1899,68_408,1868619,5711909,100,
54.9,,72_2188,1828361,5846524,,
54.90,,BN20-0083,1885058,5774353,100.00,
54.90,1/10/1944,RR54,1885571,5773905,75.00,
54.90,9/07/1979,RR819,1884550,5775065,80.00,
54.86,31/12/1899,68_212,1869020,5711309,100,
54.86,31/12/1899,68_325,1868917,5713710,75,
54.86,1/01/1984,68_507,1870224,5712280,100,
54.86,31/12/1899,68_743,1869019,5711609,75,
54.86,1/06/1986,68_773,1868720,5711208,100,
54.86,31/12/1899,68_87,1869698,5713411,100,
54,1/07/1993,68_369,1868214,5716712,100,
54,31/12/1899,68_416,1869518,5713010,100,
54,2/09/2003,72_2665,1869620,5711610,150,
54,9/03/2010,72_4596,1839126,5684066,100,
53.64,31/12/1899,68_659,1868719,5711609,100,
53.64,31/12/1899,68_99,1869618,5713111,54,
53.00,2/03/2021,BN20-0247,1884367,5774890,100.00,
52.7,7/08/2008,72_4408,1873408,5726023,100,
52.00,9/09/2010,LR11544,1891227,5776862,100.00,
51.81,31/12/1899,68_594,1869077,5710938,50,
51.81,1/01/1985,68_690,1870220,5712111,100,
51.80,31/03/1959,RR318,1885072,5774351,75.00,
51.80,27/10/1959,RR319,1884474,5775065,75.00,
51.20,10/04/1966,BN19-0050,1884878,5774267,,
50.70,,RR5019,1883860,5771124,,
50.60,,RR427,1885007,5771204,100.00,
50.1,24/06/2015,72_8179,1835732,5816936,100,
50,1/06/1983,68_240,1869720,5711910,100,
50,1/07/1993,68_624,1869119,5712510,100,
50,25/06/1992,68_824,1870320,5712111,100,
50,,72_6728,1868944,5713586,,
50.00,,BN20-0159,1884550,5772125,100.00,
50.00,,RR5008,1885198,5772256,,
50.00,1/07/1988,RR5042,1885464,5771909,100.00,
50.00,1/07/1988,RR5042,1885464,5771909,100.00,
49.68,31/12/1899,68_597,1869818,5713511,150,
49,31/12/1899,68_469,1868902,5710999,,
49,,72_6732,1869874,5713702,,
48.80,1/05/1962,RR415,1884384,5774912,75.00,
48.80,,RR764,1884120,5774790,,
48.78,5/04/1962,RR422,1884019,5771548,75.00,
48.76,31/12/1899,68_427,1868719,5711609,100,
48.76,31/12/1899,68_483,1868920,5711209,100,
48.76,1/01/1983,68_817,1868819,5711609,100,
48.50,13/04/1988,BN-2048,1896993,5754572,150.00,
48.10,20/05/1959,RR385,1885278,5774045,75.00,
48,1/11/1994,68_167,1870018,5713411,200,
48,1/02/1983,68_571,1870128,5712203,100,
48,1/12/1990,68_765,1868817,5713910,150,
48,,72_6740,1869390,5713496,,
48.00,,BN21-0056,1885142,5774386,75.00,
48.00,6/07/1979,RR20001,1885473,5771950,80.00,
47.50,17/09/1960,RR349,1885155,5774173,100.00,
47.10,11/06/1982,RR862,1884705,5772644,100.00,
46,4/08/1995,68_526,1869918,5713211,150,
46,,72_12340,1868296.61,5712155.78,,
46,,72_6729,1869091,5710871,,
46.00,,BN21-0060,1884780,5771821,100.00,
45.72,31/12/1899,68_208,1869085,5710962,75,
45.72,1/01/1982,68_337,1870257,5712240,100,
45.72,1/01/1982,68_338,1869719,5712010,100,
45.72,1/07/1986,68_496,1868920,5711009,100,
45.72,1/01/1984,68_559,1870246,5712254,46,
45.72,1/10/1986,68_593,1868819,5711509,46,
45.72,1/04/1986,68_679,1869920,5712010,46,
45.72,31/12/1899,68_772,1868919,5712009,46,
45.72,31/12/1899,68_834,1868419,5711809,100,
45.7,,72_2189,1828057,5846247,76,
45.70,,RR5052,1884902,5771753,100.00,
45.41,31/12/1899,68_333,1868424,5711938,100,
45,,68_524,1869020,5711109,,
45,,72_6716,1869728,5713513,,
45,,72_6719,1869517,5713554,,
45,,72_6744,1869057,5712926,,
45.00,,BN20-0063,1884935,5774487,80.00,
45.00,,BN24-0036,1884612,5774077,100.00,
45.00,31/05/2010,RR11541,1884937,5774644,100.00,
45.00,,RR907,1884937,5774650,,
44.8,31/03/1989,68_682,1869020,5710808,125,
44.50,7/08/1978,RR796,1884735,5774858,150.00,
44.19,1/01/1984,68_673,1869120,5711309,100,
44.00,,RR1026,1884359,5774987,,
44.00,1/06/1994,RR2120,1884456,5775073,80.00,
44.00,,RR5046,1884648,5771741,100.00,
43.60,7/12/1961,RR236,1884896,5773951,150.00,
43.00,,RR5061,1884222,5771079,,
42.70,30/05/1962,RR421,1885231,5773594,,
42.67,1/11/1986,68_247,1869819,5712110,100,
42.67,31/12/1899,68_422,1869618,5713911,43,
42.5,1/10/1997,68_919,1868420,5710107,100,
42,13/06/1990,68_192,1868513,5711603,100,
42,12/06/1990,68_561,1868519,5711208,100,
42.00,3/11/1989,BN18-0101,1884955,5772008,100.00,
41.70,1/12/1974,RR713,1884164,5774948,100.00,
40.75,,RR33,1884077,5774783,,
40,1/04/1996,68_298,1868218,5712209,100,
40,12/12/1989,68_473,1868918,5712610,80,
40,29/12/1990,68_549,1868920,5711009,100,
40,1/04/1995,68_554,1869992,5712112,100,
40,1/12/1986,68_598,1870207,5712438,75,
40,,68_617,1839727,5683166,100,
40,9/07/1966,72_2009,1890086,5731552,,
40,29/09/1967,72_2023,1887714,5729841,,
40,1/04/1993,72_2029,1887628,5731071,,
40,,72_6741,1869426,5713514,,
40,,72_6745,1869409,5713547,,
40.00,,BN22-0153,1884828,5772102,100.00,
39.64,3/06/1976,RR742,1884195,5775201,80.00,
39.62,31/12/1899,68_216,1868719,5711309,75,
39.62,31/12/1899,68_261,1869518,5713010,40,
39.60,18/03/1960,RR237,1884783,5773741,100.00,
39.60,7/04/1960,RR299,1884514,5774961,75.00,
39.60,17/12/1960,RR387,1884933,5772346,100.00,
39,21/05/1990,68_343,1868920,5711009,100,
39,21/08/2014,72_6666,1800023,5832761,100,
39.00,,RR5013,1884532,5772102,,
38.40,20/11/1962,LR480,1891133,5776909,75.00,
38.00,20/06/1984,LR904,1891139,5776873,75.00,
38.00,15/07/2012,RR11552,1891162,5776785,100.00,
38.00,,RR5010,1884806,5771813,,
37.80,10/11/1958,RR192,1884935,5774635,87.50,
37.5,1/05/2017,72_10507,1797919,5800306,100,
37,20/12/1993,68_159,1868519,5711709,100,
37.00,,RR909,1884138,5773700,,
36.60,23/07/1957,RR390,1885012,5773915,87.50,
36.60,14/05/1962,RR414,1884842,5774437,100.00,
36.60,1/08/1942,RR5,1884316,5772356,63.50,
36.60,17/05/1955,RR72,1884607,5771905,50.00,
36.60,1/03/1977,RR762,1884753,5771714,100.00,
36.57,1/01/1981,68_419,1870213,5712461,100,
36.57,1/01/1981,68_459,1870191,5712394,100,
36.57,31/12/1899,68_480,1868931,5710942,37,
36.57,31/12/1899,68_486,1868588,5711911,37,
36.57,1/01/1980,68_528,1869820,5712010,100,
36.57,31/12/1899,68_558,1869720,5711810,100,
36.57,28/11/1986,68_588,1869720,5711910,100,
36.57,31/12/1899,68_747,1868619,5711809,37,
